sector	row	seat	price_rub	offer_id
vip c138	3	9	153000	6a08457012f6ef7002018cec
vip c138	3	10	153000	6a08457012f6ef7002018cec
vip c138	3	11	153000	6a08457012f6ef7002018cec
vip c138	3	12	153000	6a08457012f6ef7002018cec
vip c138	4	4	153000	6a08456212f6ef7002018cce
vip c138	4	5	153000	6a08456212f6ef7002018cce
vip c138	4	6	153000	6a08456212f6ef7002018cce
vip c138	4	7	153000	6a08456212f6ef7002018cce
vip c138	8	1	136000	6a0bec4312f6ef70020af8d2
vip c138	8	2	136000	6a0bec4312f6ef70020af8d2
vip c138	8	3	136000	6a0bec4312f6ef70020af8d2
vip c138	8	4	136000	6a0bec4312f6ef70020af8d2
vip c138	20	1	153000	6a074f9512f6ef7002ff86e4
vip c138	20	2	153000	6a074f9512f6ef7002ff86e4
vip c138	20	3	153000	6a074f9512f6ef7002ff86e4
vip c138	20	4	153000	6a074f9512f6ef7002ff86e4
vip c138	21	1	153000	6a074fdb12f6ef7002ff87e7
vip c138	21	2	153000	6a074fdb12f6ef7002ff87e7
vip c138	21	3	153000	6a074fdb12f6ef7002ff87e7
vip c138	21	4	153000	6a074fdb12f6ef7002ff87e7
vip c138	29	5	153000	6a08454512f6ef7002018cc8
vip c138	32	1	153000	6a07505312f6ef7002ff896e
vip c138	32	2	153000	6a07505312f6ef7002ff896e
vip c138	32	3	153000	6a07505312f6ef7002ff896e
vip c138	32	4	153000	6a07505312f6ef7002ff896e
сектор a101	25	2	23800	6a0b750c12f6ef70020ac382
сектор a101	25	3	23800	6a0b750c12f6ef70020ac382
сектор a101	25	4	23800	6a0b750c12f6ef70020ac382
сектор a101	26	10	29750	6a0b753112f6ef70020ac3d6
сектор a101	26	11	29750	6a0b753112f6ef70020ac3d6
сектор a101	26	12	29750	6a0b753112f6ef70020ac3d6
сектор a101	26	13	29750	6a0b753112f6ef70020ac3d6
сектор a101	26	14	29750	6a0b753112f6ef70020ac3d6
сектор a101	26	15	29750	6a0b753112f6ef70020ac3d6
сектор a101	28	10	25500	6a0b758b12f6ef70020ac541
сектор a101	28	11	25500	6a0b758b12f6ef70020ac541
сектор a101	28	12	25500	6a0b758b12f6ef70020ac541
сектор a101	31	18	20400	6a0b78c512f6ef70020ad04a
сектор a101	33	28	28900	6a0b747212f6ef70020ac2cb
сектор a101	33	29	28900	6a0b747212f6ef70020ac2cb
сектор a101	33	30	28900	6a0b747212f6ef70020ac2cb
сектор a101	33	31	28900	6a0b747212f6ef70020ac2cb
сектор a101	34	14	28900	6a0b748112f6ef70020ac2d1
сектор a101	34	15	28900	6a0b748112f6ef70020ac2d1
сектор a101	34	16	28900	6a0b748112f6ef70020ac2d1
сектор a101	34	17	28900	6a0b748112f6ef70020ac2d1
сектор a101	35	26	20400	6a06353112f6ef7002fb3036
сектор a101	35	27	20400	6a06353112f6ef7002fb3036
сектор a101	36	23	25500	6a0b75d112f6ef70020ac5c7
сектор a101	36	24	25500	6a0b75d112f6ef70020ac5c7
сектор a101	36	25	25500	6a0b75d112f6ef70020ac5c7
сектор a101	36	26	25500	6a0b75d112f6ef70020ac5c7
сектор a101	36	31	23800	6a0b817612f6ef70020ada97
сектор a101	36	32	23800	6a0b817612f6ef70020ada97
сектор a101	38	25	20400	6a06354912f6ef7002fb3056
сектор a101	39	19	25500	6a0b75f412f6ef70020ac64e
сектор a101	39	20	25500	6a0b75f412f6ef70020ac64e
сектор a101	39	21	25500	6a0b75f412f6ef70020ac64e
сектор a101	39	22	25500	6a0b75f412f6ef70020ac64e
сектор a101	39	29	25500	6a0b75f412f6ef70020ac64e
сектор a101	39	30	25500	6a0b75f412f6ef70020ac64e
сектор a202	4	6	20400	6a0b74e212f6ef70020ac37d
сектор a202	4	7	20400	6a0b74e212f6ef70020ac37d
сектор a202	4	8	20400	6a0b74e212f6ef70020ac37d
сектор a202	4	9	20400	6a0b74e212f6ef70020ac37d
сектор a202	9	16	13600	6a0ae3d312f6ef700207dad4
сектор a202	9	17	13600	6a0ae3d312f6ef700207dad4
сектор a202	16	3	13600	6a0ae38412f6ef700207d81a
сектор a202	16	4	13600	6a0ae38412f6ef700207d81a
сектор a202	17	5	11900	6a0ae38f12f6ef700207d85c
сектор a202	18	1	13600	6a0ae3a412f6ef700207d8ff
сектор a202	18	2	13600	6a0ae3a412f6ef700207d8ff
сектор a202	19	4	13600	6a0b826912f6ef70020adb18
сектор a202	19	5	13600	6a0b826912f6ef70020adb18
сектор a202	20	15	11900	6a0ae33512f6ef700207d33d
сектор a202	23	7	13600	6a0ae41012f6ef700207dd35
сектор a202	23	8	13600	6a0ae41012f6ef700207dd35
сектор a202	24	12	13600	6a0b827412f6ef70020adb1e
сектор a202	24	13	13600	6a0b827412f6ef70020adb1e
сектор a202	25	1	13600	6a0ae3bf12f6ef700207da13
сектор a202	25	2	13600	6a0ae3bf12f6ef700207da13
сектор a202	25	3	13600	6a0ae3bf12f6ef700207da13
сектор a202	25	4	13600	6a0ae3bf12f6ef700207da13
сектор a203	13	8	14450	6a0ae3e512f6ef700207db6b
сектор a203	13	9	14450	6a0ae3e512f6ef700207db6b
сектор a204	13	11	20400	6a0b752412f6ef70020ac3d1
сектор a204	13	12	20400	6a0b752412f6ef70020ac3d1
сектор a204	13	13	20400	6a0b752412f6ef70020ac3d1
сектор a204	13	14	20400	6a0b752412f6ef70020ac3d1
сектор a204	13	15	20400	6a0b752412f6ef70020ac3d1
сектор a204	13	16	20400	6a0b752412f6ef70020ac3d1
сектор a204	13	17	20400	6a0b752412f6ef70020ac3d1
сектор a204	13	18	20400	6a0b752412f6ef70020ac3d1
сектор a205	6	1	25500	6a0b756712f6ef70020ac43f
сектор a205	6	2	25500	6a0b756712f6ef70020ac43f
сектор a205	6	3	25500	6a0b756712f6ef70020ac43f
сектор a205	6	4	25500	6a0b756712f6ef70020ac43f
сектор a205	25	6	17000	6a09ad0012f6ef700204abd7
сектор a205	25	7	17000	6a09ad0012f6ef700204abd7
сектор a205	25	8	17000	6a09ad0012f6ef700204abd7
сектор a205	25	9	17000	6a09ad0012f6ef700204abd7
сектор a205	27	6	17000	6a09adad12f6ef700204af5e
сектор a206	32	10	13600	6a08300e12f6ef70020121d6
сектор a206	32	11	13600	6a08300e12f6ef70020121d6
сектор a206	32	21	11900	6a08302812f6ef7002012365
сектор a209	7	7	28900	6a0b49f212f6ef70020a2af2
сектор a209	7	8	28900	6a0b49f212f6ef70020a2af2
сектор a209	7	9	28900	6a0b49f212f6ef70020a2af2
сектор a209	7	10	28900	6a0b49f212f6ef70020a2af2
сектор a209	21	9	20400	6a0b4a2a12f6ef70020a2d7d
сектор a209	21	10	20400	6a0b4a2a12f6ef70020a2d7d
сектор a209	21	11	20400	6a0b4a2a12f6ef70020a2d7d
сектор a209	21	12	20400	6a0b4a2a12f6ef70020a2d7d
сектор a209	25	12	22100	6a0b558412f6ef70020a5578
сектор a209	25	13	22100	6a0b558412f6ef70020a5578
сектор a209	26	5	22100	6a0b2eb212f6ef700209bf70
сектор a209	26	6	22100	6a0b2eb212f6ef700209bf70
сектор a209	28	5	22100	6a0b2eba12f6ef700209bf87
сектор a209	28	6	22100	6a0b2eba12f6ef700209bf87
сектор a209	29	1	20400	6a0b79cc12f6ef70020ad1b9
сектор a209	29	2	20400	6a0b79cc12f6ef70020ad1b9
сектор a209	30	12	18700	6a0b4b4b12f6ef70020a334e
сектор a209	30	13	18700	6a0b4b4b12f6ef70020a334e
сектор a209	30	14	18700	6a0b4b4b12f6ef70020a334e
сектор a209	30	15	18700	6a0b4b4b12f6ef70020a334e
сектор a209	32	16	22100	6a0b2bcb12f6ef700209b318
сектор a209	32	17	22100	6a0b2bcb12f6ef700209b318
сектор a209	32	18	22100	6a0b2bcb12f6ef700209b318
сектор a209	32	19	22100	6a0b2bcb12f6ef700209b318
сектор a209	32	20	20400	6a0b7a4a12f6ef70020ad1f7
сектор a209	32	21	20400	6a0b7a4a12f6ef70020ad1f7
сектор a209	32	22	20400	6a0b7a4a12f6ef70020ad1f7
сектор a209	32	23	20400	6a0b7a4a12f6ef70020ad1f7
сектор a209	34	2	22100	6a0b774712f6ef70020acb20
сектор a209	34	3	22100	6a0b774712f6ef70020acb20
сектор a209	34	4	22100	6a0b774712f6ef70020acb20
сектор a209	34	5	22100	6a0b774712f6ef70020acb20
сектор a209	37	8	20400	6a0b7a7812f6ef70020ad1fc
сектор a209	37	9	20400	6a0b7a7812f6ef70020ad1fc
сектор a209	37	10	20400	6a0b7a7812f6ef70020ad1fc
сектор a209	37	11	20400	6a0b7a7812f6ef70020ad1fc
сектор a209	37	12	20400	6a0b7a7812f6ef70020ad1fc
сектор a209	37	13	20400	6a0b7a7812f6ef70020ad1fc
сектор a214	28	3	15300	6a06b44912f6ef7002fb6d67
сектор a214	28	4	15300	6a06b44912f6ef7002fb6d67
сектор a214	28	5	15300	6a06b44912f6ef7002fb6d67
сектор a214	28	6	15300	6a06b44912f6ef7002fb6d67
сектор a215	28	6	10200	6a073de212f6ef7002ff21ef
сектор a215	28	7	10200	6a073de212f6ef7002ff21ef
сектор a216	4	8	18700	6a06b43512f6ef7002fb6ced
сектор a216	4	9	18700	6a06b43512f6ef7002fb6ced
сектор a216	14	13	9350	6a07626a12f6ef7002ffd2a8
сектор a216	14	14	9350	6a07626a12f6ef7002ffd2a8
сектор a216	21	9	10200	6a0806e312f6ef7002007401
сектор a216	21	10	10200	6a0806e312f6ef7002007401
сектор a216	21	11	10200	6a0806e312f6ef7002007401
сектор a216	21	12	10200	6a0806e312f6ef7002007401
сектор a216	26	10	9350	6a0762a412f6ef7002ffd331
сектор a216	26	11	9350	6a0762a412f6ef7002ffd331
сектор a216	27	7	8500	6a06eed012f6ef7002fd0aa2
сектор a216	29	21	10200	6a0808a512f6ef7002007ac7
сектор a216	29	22	10200	6a0808a512f6ef7002007ac7
сектор a216	29	23	10200	6a0808a512f6ef7002007ac7
сектор a216	29	24	10200	6a0808a512f6ef7002007ac7
сектор a216	30	10	10200	6a08073212f6ef700200748c
сектор a216	30	11	10200	6a08073212f6ef700200748c
сектор b145	19	10	13600	6a07515512f6ef7002ff8d2c
сектор b145	25	10	13600	6a0751a112f6ef7002ff8f58
сектор b145	25	11	13600	6a0751a112f6ef7002ff8f58
сектор b145	25	12	13600	6a0751a112f6ef7002ff8f58
сектор b145	25	13	13600	6a0751a112f6ef7002ff8f58
сектор b145	26	1	11050	6a07619412f6ef7002ffcca8
сектор b145	26	2	11050	6a07619412f6ef7002ffcca8
сектор b145	26	3	11050	6a07619412f6ef7002ffcca8
сектор b145	26	4	11050	6a07619412f6ef7002ffcca8
сектор b145	26	5	11050	6a07619412f6ef7002ffcca8
сектор b145	26	6	11050	6a07619412f6ef7002ffcca8
сектор b145	26	7	11050	6a07619412f6ef7002ffcca8
сектор b145	26	8	11050	6a07619412f6ef7002ffcca8
сектор b145	32	9	11900	6a0761e012f6ef7002ffcebe
сектор b145	32	10	11900	6a0761e012f6ef7002ffcebe
сектор b145	32	11	11900	6a0761e012f6ef7002ffcebe
сектор b145	32	12	11900	6a0761e012f6ef7002ffcebe
сектор b145	32	17	11900	6a07621412f6ef7002ffd103
сектор b145	32	18	11900	6a07621412f6ef7002ffd103
сектор b145	32	19	11900	6a07621412f6ef7002ffd103
сектор b145	32	20	11900	6a07621412f6ef7002ffd103
сектор b145	32	21	11900	6a07621412f6ef7002ffd103
сектор b145	32	22	11900	6a07621412f6ef7002ffd103
сектор b145	32	23	11900	6a07621412f6ef7002ffd103
сектор b145	32	24	11900	6a07621412f6ef7002ffd103
сектор b145	33	28	13600	6a07518b12f6ef7002ff8e89
сектор b145	33	29	13600	6a07518b12f6ef7002ff8e89
сектор b145	33	30	13600	6a07518b12f6ef7002ff8e89
сектор b145	33	31	13600	6a07518b12f6ef7002ff8e89
сектор b145	35	29	13600	6a07517112f6ef7002ff8de0
сектор b145	35	30	13600	6a07517112f6ef7002ff8de0
сектор b145	35	31	13600	6a07517112f6ef7002ff8de0
сектор b145	35	32	13600	6a07517112f6ef7002ff8de0
сектор b146	9	1	9350	6a0a1a3112f6ef700205f67d
сектор b146	9	2	9350	6a0a1a3112f6ef700205f67d
сектор b146	9	3	9350	6a0a1a3112f6ef700205f67d
сектор b146	9	4	9350	6a0a1a3112f6ef700205f67d
сектор b146	37	9	13600	6a062baa12f6ef7002fb098b
сектор b146	37	10	13600	6a062baa12f6ef7002fb098b
сектор b146	37	11	13600	6a062baa12f6ef7002fb098b
сектор b146	37	12	13600	6a062baa12f6ef7002fb098b
сектор b146	38	15	13600	6a062bc312f6ef7002fb09f3
сектор b146	38	16	13600	6a062bc312f6ef7002fb09f3
сектор b146	38	17	13600	6a062bc312f6ef7002fb09f3
сектор b146	38	18	13600	6a062bc312f6ef7002fb09f3
сектор b147	10	16	10200	6a07630f12f6ef7002ffd60e
сектор b147	10	17	10200	6a07630f12f6ef7002ffd60e
сектор b147	11	6	10200	6a07631e12f6ef7002ffd613
сектор b147	11	7	10200	6a07631e12f6ef7002ffd613
сектор b147	11	12	10200	6a07633312f6ef7002ffd6a4
сектор b147	11	13	10200	6a07633312f6ef7002ffd6a4
сектор b147	11	16	10200	6a07633f12f6ef7002ffd6a9
сектор b147	11	17	10200	6a07633f12f6ef7002ffd6a9
сектор b147	11	20	10200	6a07634e12f6ef7002ffd6f7
сектор b147	11	21	10200	6a07634e12f6ef7002ffd6f7
сектор b147	12	8	10200	6a07637212f6ef7002ffd7ca
сектор b147	12	11	10200	6a07638112f6ef7002ffd7fe
сектор b147	12	12	10200	6a07638112f6ef7002ffd7fe
сектор b147	12	19	10200	6a07638d12f6ef7002ffd82e
сектор b147	12	20	10200	6a07638d12f6ef7002ffd82e
сектор b147	13	7	10200	6a0ad89412f6ef7002078fb5
сектор b147	13	8	10200	6a0ad89412f6ef7002078fb5
сектор b147	13	15	10200	6a0b07f512f6ef700208d854
сектор b147	13	16	10200	6a0b07f512f6ef700208d854
сектор b147	13	19	10200	6a0b080a12f6ef700208d8a3
сектор b147	13	20	10200	6a0b080a12f6ef700208d8a3
сектор b147	15	17	10200	6a0aec4212f6ef7002080bf4
сектор b147	15	18	10200	6a0aec4212f6ef7002080bf4
сектор b147	29	22	10200	6a081cf612f6ef700200c645
сектор b147	31	18	11900	6a07591912f6ef7002ffb443
сектор b147	31	19	11900	6a07591912f6ef7002ffb443
сектор b147	31	20	11900	6a07591912f6ef7002ffb443
сектор b147	31	21	11900	6a07591912f6ef7002ffb443
сектор b147	32	18	11900	6a0760bf12f6ef7002ffc58c
сектор b147	32	19	11900	6a0760bf12f6ef7002ffc58c
сектор b147	32	20	11900	6a0760bf12f6ef7002ffc58c
сектор b147	33	9	11900	6a0759a412f6ef7002ffb584
сектор b147	33	10	11900	6a0759a412f6ef7002ffb584
сектор b147	33	11	11900	6a0759a412f6ef7002ffb584
сектор b147	33	12	11900	6a0759a412f6ef7002ffb584
сектор b147	33	13	11900	6a0759a412f6ef7002ffb584
сектор b147	33	14	11900	6a0759a412f6ef7002ffb584
сектор b147	33	15	11900	6a0759a412f6ef7002ffb584
сектор b147	33	16	11900	6a0759a412f6ef7002ffb584
сектор b147	33	17	10200	6a0b49e112f6ef70020a2a4c
сектор b147	33	18	10200	6a0b49e112f6ef70020a2a4c
сектор b147	34	17	10200	6a0b4c7512f6ef70020a38ac
сектор b147	34	18	10200	6a0b4c7512f6ef70020a38ac
сектор b148	11	3	10200	6a073cba12f6ef7002ff1922
сектор b148	11	4	10200	6a073cba12f6ef7002ff1922
сектор b148	20	5	10200	6a0ac3d912f6ef70020708da
сектор b148	20	6	10200	6a0ac3d912f6ef70020708da
сектор b148	20	7	10200	6a0ac3d912f6ef70020708da
сектор b148	20	8	10200	6a0ac3d912f6ef70020708da
сектор b148	23	9	10200	6a07669212f6ef7002ffe397
сектор b148	23	10	10200	6a07669212f6ef7002ffe397
сектор b148	23	11	10200	6a07669212f6ef7002ffe397
сектор b148	23	12	10200	6a07669212f6ef7002ffe397
сектор b152	33	5	14450	6a06358012f6ef7002fb3179
сектор b152	33	6	14450	6a06358012f6ef7002fb3179
сектор b152	33	7	14450	6a06358012f6ef7002fb3179
сектор b152	33	8	14450	6a06358012f6ef7002fb3179
сектор b153	12	10	14450	6a0758b812f6ef7002ffb2b8
сектор b153	12	11	14450	6a0758b812f6ef7002ffb2b8
сектор b153	12	12	14450	6a0758b812f6ef7002ffb2b8
сектор b153	12	13	14450	6a0758b812f6ef7002ffb2b8
